Breaking Point, Pamela Clare, Romance, 2011
The 10 Habits of Happy Mothers, Meg Meeker; M.D., Nonfiction, 2011
We Need to Talk About Kevin, Lionel Shriver, Fiction, 2011
The Prague Cemetery, Umberto Eco, Fiction, 2011
Good Girls Don't, Victoria Dahl, Romance, 2011
Inheritance, Christopher Paolini, Fantasy, 2011
Best Staged Plans, Claire Cook, Fiction, 2011
The Gap Year, Sarah Bird, Humor, 2011
Crossed, Ally Condie, Romance, 2011
1225 Christmas Tree Lane, Debbie Macomber, Romance, 2011
Heaven is for Real, Todd Burpo, Nonfiction, 2011
1Q84, Haruki Murakami, Fiction, 2011
The Affair, Lee Child, Mystery, 2011
The Girl With the Dragon Tattoo, Stieg Larsson, Mystery, 2011
Explosive Eighteen, Janet Evanovich, Mystery, 2011
